"","ID","group","score"
"1",1,"native",268.661162435525
"2",2,"native",269.030972677348
"3",3,"native",267.853049516621
"4",4,"native",273.026297460253
"5",5,"native",263.74140501432
"6",6,"native",269.307759300903
"7",7,"native",267.46628409561
"8",8,"native",269.292053410631
"9",9,"native",273.287677262461
"10",10,"native",265.962840061756
"11",11,"native",268.962604415992
"12",12,"native",269.954027999235
"13",13,"native",266.799612391922
"14",14,"native",264.504195491184
"15",15,"native",266.555507774833
"16",16,"native",269.983312341387
"17",17,"native",270.839292735415
"18",18,"native",271.876117930275
"19",19,"native",270.354989393066
"20",20,"native",270.066192773997
"21",21,"native",270.018249185255
"22",22,"native",272.51655354345
"23",23,"native",262.688480887806
"24",24,"native",270.789233612032
"25",25,"native",271.731331016226
"26",26,"native",270.592951293211
"27",27,"native",266.339357174385
"28",28,"native",271.922189339226
"29",29,"native",267.517429758738
"30",30,"native",269.838797273796
"31",31,"native",268.289743760884
"32",32,"native",264.294781826815
"33",33,"native",270.417818984817
"34",34,"native",269.986323822906
"35",35,"native",268.795384091511
"36",36,"native",270.372783637215
"37",37,"native",263.889285306945
"38",38,"native",265.405198550089
"39",39,"native",270.124286960384
"40",40,"native",268.013339181193
"41",41,"native",268.376731893259
"42",42,"native",270.172038579264
"43",43,"native",265.549971060081
"44",44,"native",271.39556765074
"45",45,"native",271.740914878329
"46",46,"native",273.217880204811
"47",47,"native",270.180329919062
"48",48,"native",268.158754933272
"49",49,"native",271.20327333374
"50",50,"native",266.678057949048
"51",51,"native",270.235942610343
"52",52,"native",272.369336818948
"53",53,"native",266.284354476946
"54",54,"native",264.124575148136
"55",55,"native",271.108047198742
"56",56,"native",263.462123650843
"57",57,"native",267.804060419695
"58",58,"native",265.083270237993
"59",59,"native",270.009381619346
"60",60,"native",264.557160731093
"61",61,"native",271.471170160232
"62",62,"native",267.757879730102
"63",63,"native",268.270221928948
"64",64,"native",272.14887947697
"65",65,"native",264.661269824446
"66",66,"native",268.950900672688
"67",67,"native",264.636015954869
"68",68,"native",276
"69",69,"native",271.895026888171
"70",70,"native",267.705391090414
"71",71,"native",265.650297583126
"72",72,"native",269.619096655425
"73",73,"native",266.583637541076
"74",74,"native",266.930122208239
"75",75,"native",264.704217576929
"76",76,"native",268.506793117717
"77",77,"native",267.468149389012
"78",78,"native",268.716490709381
"79",79,"native",266.088767236878
"80",80,"native",268.47818245298
"81",81,"native",272.803157760288
"82",82,"native",273.469128060646
"83",83,"native",271.682728127824
"84",84,"native",272.162256926576
"85",85,"native",268.310581680129
"86",86,"native",270.874294919086
